married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dependent,dataset
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,7.0,124.96,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,eCheck,9.0,149.95,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Autopay,6.0,162.51,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Autopay,4.0,92.46,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Check,10.0,222.65,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,eCheck,1.0,139.98,No,WGU Telecom Co.
No,Female,Yes,One year,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Autopay,1.0,200.13,Yes,WGU Telecom Co.
No,Male,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,5.0,257.65,Yes,WGU Telecom Co.
Yes,Male,No,Two year,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,11.0,230.11,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,Yes,No,Yes,No,Yes,No,No,No,eCheck,4.0,147.49,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,eCheck,5.0,230.11,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,eCheck,21.0,174.96,Yes,WGU Telecom Co.
No,Male,Yes,One year,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Check,3.0,267.66,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Check,5.0,162.48,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,3.0,229.99,Yes,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,eCheck,7.0,140.0,Yes,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,10.0,184.96,Yes,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,16.0,147.47,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Check,9.0,172.46,Yes,WGU Telecom Co.
Yes,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,eCheck,3.0,107.48,Yes,WGU Telecom Co.
No,Male,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Autopay,4.0,255.14,Yes,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,eCheck,19.0,192.46,Yes,WGU Telecom Co.
No,Female,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,9.0,242.63,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,eCheck,10.0,245.17,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Autopay,22.0,184.96,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Autopay,9.0,195.01,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,No,No,No,No,No,Yes,No,No,Autopay,8.0,104.96,Yes,WGU Telecom Co.
Yes,Female,No,Month-to-month,None,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,12.0,92.49,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Autopay,3.0,184.98,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,7.0,187.66,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,eCheck,5.0,149.96,Yes,WGU Telecom Co.
No,Female,Yes,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,2.0,169.94,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Check,12.0,160.0,No,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Check,14.0,129.96,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,10.0,114.95,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Check,7.0,142.52,Yes,WGU Telecom Co.
No,Male,Yes,Two year,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Autopay,16.0,220.15,Yes,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,eCheck,7.0,124.98,No,WGU Telecom Co.
No,Female,No,One year,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Check,3.0,164.96,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,2.0,194.98,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Check,8.0,152.46,No,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,No,No,Check,12.0,92.5,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,No,Yes,Yes,eCheck,10.0,127.49,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Autopay,8.0,184.96,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Autopay,4.0,265.15,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,11.0,207.61,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,eCheck,12.0,152.46,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,2.0,200.13,Yes,WGU Telecom Co.
Yes,Female,Yes,One year,None,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,eCheck,24.0,212.66,Yes,WGU Telecom Co.
No,Male,Yes,One year,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,4.0,255.12,No,WGU Telecom Co.
Yes,Female,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,8.0,134.95,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,9.0,255.14,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Autopay,2.0,214.97,Yes,WGU Telecom Co.
Yes,Female,Yes,One year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,5.0,270.16,Yes,WGU Telecom Co.
No,Female,Yes,Two year,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,eCheck,1.0,200.17,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Autopay,20.0,149.94,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Check,25.0,240.11,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Autopay,10.0,127.5,No,WGU Telecom Co.
Yes,Female,Yes,One year,DSL,Yes,No,No,No,No,No,Yes,Yes,No,eCheck,10.0,187.61,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Autopay,8.0,169.99,No,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,No,Check,19.0,192.46,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Autopay,14.0,120.0,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Autopay,2.0,195.01,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Autopay,2.0,139.96,No,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Autopay,5.0,114.98,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,No,No,Yes,Yes,No,eCheck,4.0,207.64,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,eCheck,4.0,187.61,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,4.0,134.95,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Check,2.0,192.47,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Check,14.0,222.63,No,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,eCheck,3.0,162.47,No,WGU Telecom Co.
No,Male,Yes,Two year,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,eCheck,20.0,159.98,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Check,18.0,184.98,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,5.0,245.15,No,WGU Telecom Co.
Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,eCheck,7.0,124.98,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Check,13.0,187.48,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Check,20.0,162.5,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,eCheck,7.0,182.47,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,14.0,222.66,No,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,11.0,182.47,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,3.0,220.16,No,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,eCheck,17.0,169.94,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Check,23.0,204.96,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,eCheck,4.0,204.96,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Autopay,11.0,245.13,Yes,WGU Telecom Co.
No,Nonbinary,Yes,Month-to-month,None,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Autopay,13.0,172.47,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,DSL,No,Yes,No,No,No,Yes,No,Yes,No,Autopay,15.0,172.46,No,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,eCheck,9.0,194.98,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,Autopay,5.0,137.44,Yes,WGU Telecom Co.
No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Autopay,7.0,192.47,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Check,3.0,159.95,No,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,18.0,112.46,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Check,13.0,174.96,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Autopay,23.0,162.45,No,WGU Telecom Co.
Yes,Female,No,One year,DSL,Yes,Yes,No,No,Yes,No,No,No,Yes,Check,6.0,137.48,Yes,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,eCheck,13.0,275.13,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,Yes,No,eCheck,7.0,127.44,Yes,WGU Telecom Co.
No,Male,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,No,eCheck,9.0,210.14,No,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,22.0,147.46,Yes,WGU Telecom Co.
No,Male,Yes,One year,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Autopay,5.0,242.66,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Check,10.0,114.98,Yes,WGU Telecom Co.
No,Female,No,Month-to-month,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,8.0,187.66,Yes,WGU Telecom Co.
No,Female,No,Two year,None,Yes,Yes,No,No,Yes,No,Yes,No,No,Autopay,8.0,149.99,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,Yes,No,No,No,No,No,No,No,Autopay,7.0,124.96,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,5.0,220.16,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,No,Yes,No,Yes,Yes,Yes,No,No,No,Autopay,10.0,172.49,No,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,eCheck,4.0,120.0,No,WGU Telecom Co.
No,Male,Yes,Month-to-month,None,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,5.0,220.16,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Check,6.0,139.97,No,WGU Telecom Co.
No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Check,3.0,159.95,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Autopay,9.0,184.95,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Check,10.0,252.64,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,9.0,112.46,Yes,WGU Telecom Co.
Yes,Male,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,eCheck,8.0,179.98,Yes,WGU Telecom Co.
Yes,Male,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Autopay,6.0,202.44,Yes,WGU Telecom Co.
No,Male,No,One year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,7.0,197.47,Yes,WGU Telecom Co.
No,Female,Yes,One year,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Check,15.0,255.16,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,12.0,174.98,No,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,Yes,eCheck,4.0,169.99,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Autopay,3.0,192.44,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Autopay,3.0,182.46,Yes,WGU Telecom Co.
No,Male,No,One year,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,5.0,139.97,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,None,Yes,No,No,Yes,No,No,No,Yes,Yes,eCheck,3.0,137.46,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Autopay,3.0,217.47,Yes,WGU Telecom Co.
No,Nonbinary,Yes,Two year,None,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Check,3.0,210.14,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,No,No,No,No,No,Yes,No,No,Yes,eCheck,16.0,104.96,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Autopay,12.0,262.61,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,None,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,7.0,152.49,Yes,WGU Telecom Co.
No,Female,Yes,One year,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Autopay,6.0,174.97,Yes,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,15.0,220.12,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,No,No,Check,6.0,162.45,Yes,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Check,3.0,184.96,Yes,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,eCheck,19.0,217.48,Yes,WGU Telecom Co.
Yes,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,No,Check,14.0,220.12,Yes,WGU Telecom Co.
No,Female,Yes,One year,None,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,8.0,187.64,No,WGU Telecom Co.
No,Male,No,Two year,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,eCheck,6.0,174.96,Yes,WGU Telecom Co.
Yes,Male,Yes,Two year,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,20.0,252.64,No,WGU Telecom Co.
No,Male,No,One year,None,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Autopay,15.0,130.02,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,No,Autopay,3.0,162.48,No,WGU Telecom Co.
Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Autopay,12.0,182.47,Yes,WGU Telecom Co.
Yes,Female,No,Two year,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Check,6.0,139.93,Yes,WGU Telecom Co.
No,Female,Yes,Two year,None,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Check,11.0,200.17,Yes,WGU Telecom Co.
Yes,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,16.0,202.68,Yes,WGU Telecom Co.
No,Female,No,Two year,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,eCheck,13.0,159.95,Yes,WGU Telecom Co.
Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Check,8.0,149.95,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Yes,eCheck,8.0,149.96,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,Yes,No,No,No,Yes,No,No,No,eCheck,12.0,137.47,Yes,WGU Telecom Co.
No,Male,Yes,One year,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,10.0,187.66,Yes,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Check,16.0,164.99,No,WGU Telecom Co.
Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Autopay,14.0,159.97,No,WGU Telecom Co.
No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,eCheck,19.0,172.46,No,WGU Telecom Co.
No,Female,Yes,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,No,No,eCheck,10.0,204.95,No,WGU Telecom Co.
No,Male,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,7.0,147.47,Yes,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,No,eCheck,13.0,162.47,Yes,WGU Telecom Co.
No,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Check,9.0,119.96,Yes,WGU Telecom Co.
No,Female,Yes,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,4.0,207.61,Yes,WGU Telecom Co.
No,Female,No,One year,None,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Check,3.0,195.0,Yes,WGU Telecom Co.
No,Nonbinary,No,Two year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Autopay,6.0,174.98,No,WGU Telecom Co.
No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Check,16.0,240.11,Yes,WGU Telecom Co.
No,Nonbinary,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,23.0,240.11,Yes,WGU Telecom Co.
No,Male,No,One year,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Check,17.0,139.98,Yes,WGU Telecom Co.
No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,13.0,240.11,No,WGU Telecom Co.
No,Female,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,5.0,209.99,Yes,WGU Telecom Co.
No,Female,No,Two year,DSL,Yes,Yes,No,Yes,No,No,No,No,No,Check,4.0,147.46,Yes,WGU Telecom Co.
No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Check,8.0,107.5,Yes,WGU Telecom Co.
