CaseOrder,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,internet_service_DSL,internet_service_Fiber Optic,const
4796,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1
1068,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1
7090,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1
9472,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1
4440,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1
3641,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1
6336,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
6003,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1
7696,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1
3962,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
1655,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1
927,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1
6422,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1
6160,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1
7272,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
471,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1
6525,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1
4539,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1
5593,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1
9445,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
9649,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1
2312,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1
9362,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
9884,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1
6012,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1
682,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1
8731,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1
2697,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1
6199,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
8252,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1
6910,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1
9383,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1
1892,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1
9444,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
8341,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1
566,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
1334,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
9098,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
3015,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1
6438,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1
5683,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
5225,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1
3975,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1
7909,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1
1424,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
7408,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1
2337,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1
6624,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1
5938,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1
9141,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1
7017,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1
6371,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5103,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1
9897,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
5029,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
564,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
2278,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
4726,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1
5318,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1
4347,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1
4492,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1
1116,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
4339,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
7373,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
3416,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1
4040,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1
7221,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1
900,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
8688,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
6256,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
7583,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1
1589,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1
5805,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
2467,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
4927,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1
3007,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1
3656,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
1949,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1
7147,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1
7218,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1
1853,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1
203,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
7010,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
9979,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
7961,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1
7680,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
1169,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
8826,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
5596,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1
3809,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1
4252,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1
2134,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
23,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
5283,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1
4019,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1
3922,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1
6406,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
3000,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
986,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1
5889,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
2484,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
9121,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1
2089,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1
6307,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1
2310,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1
4891,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1
5910,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1
4529,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1
768,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1
1895,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1
9211,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
7651,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1
7520,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
8928,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1
9729,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
9959,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1
9827,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
2998,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1
438,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1
2140,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2646,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
8624,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1
8262,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1
7618,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1
8150,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
9497,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1
9241,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1
5849,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1
945,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1
5460,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
1276,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
3785,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1
2765,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
881,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1
2443,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1
5253,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1
6471,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1
1668,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
2579,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1
5926,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
555,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1
7263,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1
1316,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1
9068,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1
8428,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
5579,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1
3800,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
2137,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1
6424,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1
2709,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1
5542,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1
6051,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
965,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1
9541,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1
2079,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1
8969,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1
3072,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1
6701,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
9356,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1
633,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1
3362,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
369,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
5619,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
550,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1
1753,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1
883,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1
6569,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
5003,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
74,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1
2315,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1
7066,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1
9436,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1
8100,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1
9478,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1
582,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1
8346,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
9075,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
7894,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1
691,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1248,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
778,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1
5559,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1
9233,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1
3183,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1
458,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
7065,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1
3103,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1
465,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1
8285,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1
1768,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
6579,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
1311,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1
7740,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1
9060,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
3276,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1
8755,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1
9663,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
665,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1
8556,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1
4267,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
3225,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2227,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1
5481,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1
2377,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
4642,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1
8202,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1
7329,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1
6416,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
6484,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
9398,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
8976,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1
1809,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1
38,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1
8375,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
9354,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
4488,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1
1113,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1
9964,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
5302,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1
2450,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1
684,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
2335,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1
4135,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1
6787,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
9423,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
5790,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1
8820,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1
4704,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1
1385,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1
5523,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1
6575,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
55,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1
2614,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1
8720,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1
330,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1
5552,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1
8066,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1
2455,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
2495,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1
9750,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1
4214,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1
4400,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
6880,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1
2667,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1
3604,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1
4398,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1
6906,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1
1550,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1
9272,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
5076,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
4392,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
4183,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1
9511,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1
8629,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
8143,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1
4387,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
414,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
7119,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1
930,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
3364,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1
2687,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1
940,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
9779,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1
8222,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1
7766,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
9081,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
6390,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1
5638,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1
9682,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1
2343,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1
1340,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1
3308,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1
6877,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1
4494,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1
6169,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1
6065,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
4658,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
4427,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
4852,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1
3823,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1
6555,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
6556,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
3020,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
237,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1
6372,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
4990,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1
5155,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
3964,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1
2085,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
4256,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1
2910,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1
6651,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1
3572,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1
9074,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1
8697,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
7056,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1
4973,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1
8035,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
3948,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1
2185,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
8301,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1
2362,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1
6782,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1
3958,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1
6608,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1
8733,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1
9661,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
243,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
9917,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1
531,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
1483,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
5577,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
335,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
802,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1
7354,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
7405,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1
2733,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1
9976,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1
1063,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
9340,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1
9626,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1
1156,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1
749,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1
7726,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1
8489,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1
5605,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
7316,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
2582,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1
1944,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1
3893,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1
7821,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
8195,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
902,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1
8581,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
6386,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1
360,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
9735,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1174,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
4028,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1
5745,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
9456,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1
2995,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1
