case_order,customer_id,interaction,city,state,county,zip,lat,lng,population,area,timezone,job,children,age,education,employment_type,income,marital_type,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,bandwidth_gb_year,timely_response,timely_fixes,timely_replacements,reliability,options,respectful_response,courteous_exchange,active_listening
19,F487435,200fad69-1e40-4de6-9222-df84d8925000,Oakland,TN,Fayette,38060,35.2091,-89.50332,9463,Rural,US/Central,"Engineer, electrical",3.0,61,12,Full Time,39262,Widowed,F,No,11.0,11,1,0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,17,154.02,1833,3,4,3,4,3,2,3,5
20,B561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,Trafford,AL,Blount,35172,33.84469,-86.6974,3177,Rural,US/Central,Broadcast presenter,3.0,23,14,Part Time,19494,Divorced,M,Yes,11.0,10,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,12,150.11,1954,5,5,5,4,4,4,3,3
21,X325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,Kaneville,IL,Kane,60144,41.83594,-88.5206,69,Rural,US/Central,Counsellor,4.0,53,8,Retired,39624,Single,M,No,12.0,14,0,3,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,20,185.1,2330,2,3,3,2,4,2,3,3
22,I282896,69fbc82f-1ea2-47a2-a056-d6f8d428b687,Columbus,OH,Franklin,43215,39.96636,-83.01286,14440,Suburban,US/Eastern,Geophysical data processor,3.0,30,12,Retired,33187,Divorced,M,No,7.0,18,1,0,No,Two Year,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,No,Autopay,2,127.03,594,5,5,4,4,3,4,3,5
23,I367206,1937a759-91b7-4390-80f1-6f8e7d81e058,Mallard,IA,Palo Alto,50562,42.96153,-94.64179,381,Urban,US/Central,"Designer, multimedia",0.0,52,11,Full Time,27442,Widowed,M,No,10.0,16,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,6,125.56,713,3,3,3,2,2,3,5,5
24,N37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,Baileyville,ME,Washington,04694,45.10333,-67.47223,2193,Urban,US/Eastern,Event organiser,2.0,68,16,Full Time,79699,Divorced,M,No,7.0,9,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,eCheck,8,150.33,945,4,4,3,5,3,4,4,3
25,U644626,30a2f575-54cc-4894-96b8-358317896f43,Williamsburg,OH,Clermont,45176,39.08339,-84.02314,9434,Rural,US/Eastern,Equality and diversity officer,3.0,75,12,Full Time,28520,Widowed,F,Yes,15.0,15,1,0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Autopay,5,163.31,870,3,3,4,2,4,4,3,4
26,A766555,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,Saint Augustine,FL,St. Johns,32086,29.75675,-81.30311,29568,Suburban,US/Eastern,Counsellor,1.0,77,12,Full Time,12558,Separated,M,Yes,11.0,12,1,0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Autopay,4,94.07,774,4,4,4,4,2,4,5,5
27,V54032,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,Tohatchi,NM,McKinley,87325,36.00209,-108.62285,3089,Rural,US/Mountain,Psychiatrist,0.0,47,16,Retired,8762,Married,F,Yes,16.0,15,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Check,10,222.96,1506,5,3,5,3,3,5,4,4
28,Z301326,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,Erie,MI,Monroe,48133,41.7812,-83.48594,5652,Urban,US/Eastern,"Surveyor, commercial/residential",0.0,70,18,Part Time,43882,Widowed,F,Yes,16.0,12,0,0,No,Month-to-month,Yes,No,None,No,No,No,Yes,Yes,No,Yes,No,Yes,eCheck,1,141.09,419,2,2,3,4,4,2,2,2
29,J887250,a49a3cbf-182c-49f5-b15f-e124582d2c8f,Moretown,VT,Washington,05660,44.24718,-72.74137,1716,Urban,US/Eastern,Civil Service administrator,3.0,53,12,Full Time,33187,Separated,F,Yes,44.0,13,2,0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Autopay,36,230.62,1259,3,4,3,3,2,4,4,2
30,Z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484,Suburban,US/Eastern,"Radiographer, diagnostic",4.0,69,16,Student,33187,Single,M,Yes,12.0,18,1,0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,5,259.39,1745,4,4,4,3,2,5,5,4
31,L357432,79b827eb-46b9-4737-8484-0b670171bc4b,Whitesboro,NY,Oneida,13492,43.11988,-75.32875,11268,Urban,US/Eastern,Air traffic controller,9.0,45,0,Part Time,43383,Married,M,No,7.0,14,0,0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,11,230.96,1795,3,2,1,5,3,3,3,2
32,V899967,5cffec4f-2316-4f97-b0d6-106888164492,Sherwood,OH,Defiance,43556,41.30608,-84.56989,1765,Rural,US/Eastern,Dietitian,0.0,40,11,Unemployed,21793,Single,F,No,5.0,13,2,0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,No,No,No,No,eCheck,36,147.82,492,2,3,4,3,3,2,4,3
33,G571225,c7c6fcb5-eb79-438e-bf66-179ac491274e,Pe Ell,WA,Lewis,98572,46.5512,-123.32437,680,Rural,US/Pacific,"Therapist, occupational",6.0,82,12,Retired,51960,Divorced,F,Yes,9.0,9,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,eCheck,4,230.24,1013,4,4,4,5,2,5,3,5
34,S381541,a81aaffc-186f-46d1-8378-ad11bcedde9c,Seney,MI,Schoolcraft,49883,46.43517,-86.01334,136,Rural,US/Eastern,Building services engineer,5.0,53,12,Full Time,33187,Separated,M,Yes,12.0,8,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,eCheck,20,175.82,3382,5,5,4,3,5,3,4,1
35,R195593,fd1b0111-3d91-460d-b26b-d52008c383f8,Chatsworth,IL,Livingston,60921,40.73772,-88.28785,1517,Urban,US/Central,Information officer,0.0,53,16,Full Time,11211,Widowed,M,Yes,5.0,15,1,0,No,One year,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Check,3,267.44,1081,6,5,5,5,2,6,5,5
36,I327596,c329889a-43ac-4d20-98f3-50d1c4c527fb,Albion,MI,Calhoun,49224,42.28109,-84.75184,14103,Suburban,US/Eastern,Outdoor activities/education manager,1.0,52,11,Full Time,8283,Single,M,Yes,14.0,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Check,5,162.61,1209,4,2,3,4,3,3,4,3
37,U790894,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,Marlborough,CT,Hartford,06447,41.63306,-72.45472,6394,Suburban,US/Eastern,Market researcher,2.0,26,12,Full Time,10114,Single,F,Yes,45.0,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Autopay,3,258.41,897,4,3,5,5,2,4,5,5
38,O739489,1659c53c-7045-445c-a222-08c53851aac1,Lafayette,NJ,Sussex,07848,41.10336,-74.68407,5059,Urban,US/Eastern,"Surveyor, insurance",1.0,25,16,Full Time,33187,Single,F,No,8.0,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,eCheck,7,138.71,1340,5,6,4,2,5,3,3,3
39,I958127,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,Washington,DC,District of Columbia,20017,38.93845,-76.99317,20450,Suburban,US/Eastern,Office manager,1.0,66,12,Full Time,25397,Divorced,F,No,18.0,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Autopay,9,185.81,1113,4,4,3,4,2,4,4,5
40,Z666770,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,Dublin,PA,Bucks,18917,40.37305,-75.2041,2123,Suburban,US/Eastern,Editorial assistant,1.0,72,12,Full Time,50336,Divorced,M,No,8.0,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,eCheck,16,147.29,1530,3,4,3,6,4,4,6,2
41,X711438,3c086e5c-e913-43b6-90d0-30b15b7cd37f,Mantoloking,NJ,Ocean,08738,40.02145,-74.06183,1164,Urban,US/Eastern,Customer service manager,3.0,53,12,Full Time,38211,Divorced,F,No,39.0,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Check,9,199.93,3382,5,2,3,3,3,5,4,4
42,U369541,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,Sproul,PA,Blair,16682,40.26608,-78.45782,23,Suburban,US/Eastern,"Production designer, theatre/television/film",3.0,53,12,Retired,52887,Married,M,No,7.0,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,eCheck,36,105.94,892,3,3,2,3,5,4,3,3
43,S896111,e677e4d4-13aa-4fde-a48e-e34b94f422cd,Springer,OK,Carter,73458,34.35204,-97.25336,895,Suburban,US/Central,Analytical chemist,4.0,41,18,Full Time,12003,Divorced,M,Yes,11.0,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Autopay,3,253.79,1125,3,3,3,5,1,4,3,4
44,K227200,d542a248-4059-4008-a6fb-b7bc6e897a1c,Homer City,PA,Indiana,15748,40.52449,-79.08432,6699,Suburban,US/Eastern,Print production planner,4.0,53,12,Retired,24090,Single,M,No,9.0,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,eCheck,18,192.76,2016,3,3,3,3,4,3,3,4
45,E818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,New York,NY,New York,10035,40.7955,-73.92968,35743,Rural,US/Eastern,Psychiatrist,0.0,53,12,Full Time,33187,Single,F,Yes,14.0,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,8,243.37,1412,4,4,4,4,3,4,3,4
46,Y490834,79eb6124-9f8f-4329-90d1-903bd8bbb43d,Sagola,MI,Dickinson,49881,46.07835,-88.03348,320,Urban,US/Central,"Conservation officer, nature",2.0,44,12,Full Time,33187,Divorced,F,Yes,11.0,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,eCheck,10,245.47,3382,3,3,2,2,4,3,5,2
47,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,US/Central,Broadcast presenter,0.0,23,14,Retired,132116,Divorced,M,Yes,13.0,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Autopay,22,185.07,2384,4,4,5,2,2,4,3,3
48,E687638,a7cae1b4-3c31-4037-8755-ac692dba6d4c,Acme,WA,Whatcom,98220,48.68497,-122.19692,861,Suburban,US/Pacific,Applications developer,0.0,43,12,Full Time,37358,Single,F,Yes,9.0,11,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Autopay,9,194.57,1213,4,5,3,4,3,3,4,3
49,E492264,1df1db19-9bfc-407a-a72c-203fada5b5d3,Chattanooga,TN,Hamilton,37416,35.10444,-85.17661,15364,Rural,US/Eastern,"Librarian, public",0.0,86,12,Part Time,26534,Separated,F,No,9.0,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Autopay,7,105.66,740,3,4,3,2,3,3,3,3
50,W255321,7abea12e-f7b4-4e5a-be09-6f9fb061f923,Harvey,ND,Wells,58341,47.77527,-99.85,2589,Suburban,US/Central,Financial adviser,2.0,84,16,Full Time,33187,Married,F,No,12.0,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,11,92.43,897,3,3,4,3,5,3,3,4
51,S72442,6711579b-29d7-460e-bc34-10d4d1110a06,Goodwater,AL,Coosa,35072,33.08977,-86.06138,4901,Urban,US/Central,"Surveyor, building",2.0,53,11,Retired,33187,Separated,F,Yes,10.0,13,3,0,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,Yes,Yes,No,Yes,No,Autopay,3,185.55,1026,2,2,3,4,3,5,2,4
52,O845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649,Urban,US/Eastern,"Horticulturist, amenity",5.0,68,20,Full Time,43820,Divorced,F,Yes,9.0,12,1,0,No,Month-to-month,Yes,No,None,No,No,No,No,Yes,No,Yes,Yes,Yes,Autopay,7,188.19,1234,2,3,3,5,4,2,3,2
53,D805597,e0ad6b64-9210-4998-aa82-05b6bc33873f,Transylvania,LA,East Carroll,71286,32.6644,-91.19645,456,Suburban,US/Central,Diagnostic radiographer,1.0,59,11,Student,38391,Single,F,No,3.0,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,eCheck,5,148.42,727,4,4,4,3,4,2,5,4
54,R189303,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,Jolley,IA,Calhoun,50551,42.47954,-94.75105,94,Urban,US/Central,"Doctor, general practice",0.0,31,12,Full Time,44137,Separated,F,Yes,9.0,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,1,167.31,452,4,4,3,4,4,4,2,3
55,N142854,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,Miller,NE,Buffalo,68858,40.95947,-99.37702,315,Urban,US/Central,Insurance risk surveyor,0.0,51,12,Full Time,33187,Widowed,M,Yes,8.0,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Check,12,158.9,1296,4,2,4,5,4,3,3,4
56,F522569,01051fb5-00df-4a7e-a284-b152a0b5ea47,Welch,WV,McDowell,24801,37.44262,-81.57762,4969,Suburban,US/Eastern,Heritage manager,1.0,58,12,Full Time,62359,Separated,F,No,12.0,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Check,13,131.18,1840,3,4,3,6,3,4,5,3
57,L384793,79c4473e-fd88-46bc-a276-e21783d598eb,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869,Suburban,US/Central,Legal executive,1.0,73,11,Full Time,82634,Married,M,Yes,10.0,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,9,116.1,1324,5,4,3,5,3,3,5,4
58,C101444,5ed9b266-29a0-489e-88e0-59f9a0b39e49,Goleta,CA,Santa Barbara,93117,34.49127,-120.08222,58431,Rural,US/Pacific,Professor Emeritus,0.0,33,16,Full Time,15690,Widowed,F,No,11.0,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Check,6,142.38,958,4,5,5,5,4,4,4,5
59,E987442,626e918e-7e34-4b0a-a92c-bd60db4b6173,Racine,WI,Racine,53403,42.68864,-87.82515,26182,Suburban,US/Central,Radio producer,1.0,53,12,Full Time,14568,Separated,M,Yes,11.0,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Autopay,15,221.16,3382,3,5,3,2,4,5,5,4
60,L54611,f16fa219-d489-4a93-b261-5dc4dc99e564,Chauncey,GA,Dodge,31011,32.12693,-83.06218,694,Rural,US/Eastern,Barrister's clerk,0.0,49,11,Student,33187,Single,F,No,9.0,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,eCheck,7,125.83,676,5,5,3,4,4,5,5,4
61,L85018,97f617e1-f6f2-49c3-b317-542d7bb05d1c,Porum,OK,Muskogee,74455,35.3619,-95.26371,3093,Suburban,US/Central,"Engineer, automotive",1.0,26,12,Unemployed,55319,Single,F,No,7.0,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Check,2,163.85,1086,5,5,4,4,3,4,4,4
62,O942919,176d7713-b919-41c3-badf-676dc1abbf07,Delavan,IL,Tazewell,61734,40.37342,-89.52646,2765,Urban,US/Central,Recruitment consultant,1.0,25,16,Full Time,81831,Widowed,M,No,40.0,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,eCheck,2,225.29,704,3,4,3,2,3,4,2,4
63,I167253,d73797a9-ae43-4fe0-8f43-c7db6456eee8,Harveys Lake,PA,Luzerne,18618,41.37478,-76.03486,3757,Rural,US/Eastern,Commercial horticulturist,0.0,42,12,Full Time,100076,Separated,F,Yes,9.0,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Check,7,150.26,1416,5,5,5,4,3,2,4,4
64,R110564,9b56af1d-ccae-418c-a7e3-f1bc3964d09c,Eagar,AZ,Apache,85925,34.088,-109.3232,4938,Rural,US/Mountain,"Pharmacist, community",0.0,81,12,Full Time,69965,Widowed,M,No,5.0,15,0,0,No,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,No,No,Check,12,91.91,1095,5,5,5,3,4,3,2,5
65,M278354,7a1d7d58-f80c-47a6-933b-cf5e77d057a7,Aulander,NC,Hertford,27805,36.20782,-77.08433,3761,Suburban,US/Eastern,Forest/woodland manager,0.0,43,12,Full Time,34883,Divorced,F,No,14.0,13,0,0,Yes,Month-to-month,No,Yes,None,Yes,No,No,No,Yes,No,No,Yes,Yes,eCheck,36,128.16,1083,4,4,4,3,4,4,3,3
66,W604879,65a865fb-9376-4428-b1ee-0049a7c55176,Mokelumne Hill,CA,Calaveras,95245,38.29793,-120.62131,1851,Urban,US/Pacific,"Designer, graphic",2.0,53,11,Full Time,33187,Single,M,No,10.0,14,1,0,No,Two Year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Autopay,7,185.19,1570,3,4,3,3,4,4,4,3
67,X345797,71895f94-c853-4e94-85ef-3fab52301614,Wheeling,IL,Cook,60090,42.1295,-87.92197,38476,Suburban,US/Central,"Civil engineer, consulting",3.0,70,12,Full Time,10964,Married,F,Yes,7.0,11,0,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Autopay,4,265.98,1007,3,3,2,4,4,3,3,3
68,N189653,941c7516-20c5-47d4-a063-5f3dc7bfc47a,Nevada,MO,Vernon,64772,37.82945,-94.33173,13547,Urban,US/Central,Science writer,1.0,53,11,Full Time,33187,Widowed,M,Yes,11.0,19,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,10,207.57,1323,4,4,3,6,2,5,7,4
69,M562102,df3742f5-e551-4ecc-90fe-eea710b6d9fc,Slaton,TX,Lubbock,79364,33.45204,-101.64305,7801,Urban,US/Central,Health and safety inspector,0.0,48,12,Unemployed,52636,Separated,M,No,8.0,17,0,1,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,No,No,eCheck,12,152.36,1808,3,1,2,2,5,2,2,1
