CaseOrder,churn,email,techie,port_modem,tablet,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,internet_service_DSL,internet_service_Fiber Optic,contract_One year
40,0,10,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
41,0,12,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
42,0,16,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
43,1,11,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0
44,0,13,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0
45,1,6,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0
46,1,5,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0
47,1,11,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0
48,1,11,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0
49,0,11,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
50,0,14,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
51,1,13,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0
52,1,12,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
53,0,8,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
54,1,6,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1
55,1,11,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0
56,0,11,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
57,1,11,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
58,0,11,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
59,1,15,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
60,0,9,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
61,0,12,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
62,0,10,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
63,1,14,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0
64,0,15,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
65,0,13,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
66,0,14,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0
67,1,11,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0
68,1,19,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
69,0,17,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0
70,1,18,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0
71,1,12,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1
72,1,17,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1
73,0,9,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
74,1,9,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
75,1,16,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0
76,1,13,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
77,1,11,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
78,0,10,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
79,1,18,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
80,0,17,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
81,1,13,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1
82,0,6,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0
83,0,13,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
84,0,10,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0
85,0,11,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1
86,0,15,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1
87,0,12,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
88,1,13,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
89,1,12,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0
90,0,13,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1
91,1,13,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0
92,1,9,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0
93,0,3,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
94,1,7,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0
95,0,7,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0
96,1,13,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0
97,0,17,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
98,1,14,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0
99,0,15,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0
100,0,11,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1
101,1,12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
102,0,10,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1
103,1,19,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0
104,0,9,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
105,1,16,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
106,1,10,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0
107,1,18,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
108,1,11,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0
109,1,9,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
110,1,14,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
111,0,16,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
112,1,18,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0
113,1,10,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
114,0,9,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
115,1,14,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0
116,0,13,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
117,0,10,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1
118,0,12,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0
119,1,16,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
120,1,11,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0
121,0,13,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0
122,1,8,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1
123,0,14,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
124,0,15,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0
125,0,9,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
126,0,11,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
127,1,13,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0
128,0,9,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0
129,0,14,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0
130,1,11,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
131,1,10,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
132,0,12,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0
133,1,14,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0
134,1,10,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0
135,0,8,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
136,0,12,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0
137,0,17,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1
138,0,12,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1
139,1,10,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1
140,1,9,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0
141,0,8,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
142,1,14,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
143,0,15,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0
144,0,11,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
145,1,14,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
146,1,15,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0
147,1,17,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0
148,0,10,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
149,1,16,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0
150,1,17,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0
151,1,10,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1
152,0,8,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1
153,0,13,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
154,1,12,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0
155,0,12,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1
156,0,11,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0
157,1,13,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1
158,0,9,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0
159,1,12,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0
160,0,13,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1
161,1,12,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
162,1,13,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
163,0,13,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
164,1,13,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0
165,1,14,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0
166,0,11,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
167,0,7,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0
168,1,12,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0
169,0,14,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0
170,1,12,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1
171,1,7,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0
172,1,11,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
173,0,10,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
174,1,11,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0
175,0,14,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
176,1,11,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
177,0,15,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
178,1,11,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
179,0,14,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1
180,0,14,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
181,1,9,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
182,1,12,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0
183,0,10,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1
184,1,12,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0
185,1,11,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
186,0,10,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
187,0,14,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
188,1,8,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0
189,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
190,0,13,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0
191,0,14,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
192,1,14,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
193,1,11,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0
194,0,9,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0
195,1,14,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0
196,1,12,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
197,0,9,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1
198,0,11,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
199,0,5,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
200,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
201,1,17,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
202,1,11,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0
203,1,16,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
204,0,15,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
205,0,14,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
206,1,13,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
207,0,18,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0
208,0,8,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
209,1,12,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
210,0,14,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
211,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
212,0,12,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0
213,0,12,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
214,0,18,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0
215,1,8,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0
216,0,10,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
217,0,12,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
218,0,14,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
219,0,13,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
220,0,11,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
221,1,14,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
222,1,13,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1
223,1,10,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0
224,0,11,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0
225,1,9,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
226,0,8,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0
227,1,15,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
228,0,13,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
229,1,10,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1
230,1,12,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0
231,1,10,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
232,0,11,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0
233,1,15,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
234,0,11,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
235,0,14,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
236,0,12,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0
237,1,8,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0
238,1,16,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1
239,0,12,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0
240,1,10,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0
241,0,11,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
242,0,7,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
243,0,17,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
244,1,11,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0
245,1,10,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
246,0,12,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
247,0,14,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0
248,0,13,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
249,0,14,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
250,0,6,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1
251,0,18,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1
252,0,14,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
253,1,14,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
254,1,9,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
255,1,12,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
256,1,8,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0
257,0,11,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
258,0,11,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1
259,0,21,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
260,1,12,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0
261,1,8,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0
262,1,20,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0
263,0,16,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
264,0,5,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0
265,1,14,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0
266,1,12,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1
267,1,14,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0
268,1,19,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
269,1,19,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
270,1,13,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1
271,0,15,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1
272,1,15,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
273,1,11,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
274,0,8,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
275,0,10,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1
276,0,9,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1
277,0,13,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0
278,0,13,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0
279,1,9,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
280,1,8,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0
281,1,13,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1
282,0,16,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0
283,1,18,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0
284,1,17,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
285,1,14,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1
286,0,8,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1
287,1,16,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
288,0,11,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
289,1,14,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0
290,0,11,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
291,1,10,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0
292,0,18,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
293,0,11,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
294,1,10,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0
295,1,10,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0
296,0,14,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0
297,0,10,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0
298,0,11,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0
299,0,12,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
300,1,8,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0
301,0,10,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1
302,0,14,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
303,1,15,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
304,1,13,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0
305,0,10,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0
306,1,16,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
307,0,16,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
308,0,12,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0
309,0,11,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1
310,0,17,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0
311,0,15,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
312,1,11,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0
313,0,11,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
314,0,8,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0
315,0,11,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
316,0,16,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
317,1,8,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0
318,1,10,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1
319,1,14,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0
320,0,9,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1
321,0,11,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
322,0,13,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0
323,1,7,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
324,0,11,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
325,1,11,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0
326,0,11,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
327,1,12,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1
328,1,13,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
329,0,13,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
330,1,8,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0
331,1,12,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0
332,1,10,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0
333,1,13,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0
334,0,15,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1
335,0,11,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1
336,0,11,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0
337,1,10,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
338,1,10,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1
339,0,9,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
340,1,10,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0
341,1,13,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0
342,0,14,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
343,0,14,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1
344,1,14,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0
345,0,13,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
346,1,9,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0
347,0,14,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0
348,1,11,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0
349,1,10,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
350,1,10,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
351,1,12,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0
352,0,11,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0
353,0,15,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0
354,1,15,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
355,1,13,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0
356,0,17,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
357,1,10,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
358,0,10,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
359,1,12,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
360,0,7,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
361,0,14,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1
362,1,13,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0
363,0,19,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
364,1,13,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
365,0,13,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0
366,0,12,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1
367,1,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
368,0,10,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
369,0,12,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0
370,1,13,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
371,0,10,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
372,0,10,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1
373,0,14,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
374,0,18,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
375,1,10,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0
376,1,13,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0
377,0,12,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
378,1,12,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0
379,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
380,1,13,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0
381,0,9,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0
382,1,10,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1
383,0,13,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0
