children,age,online_security,tenure,monthly_charge,bandwidth_gb_year
0,76,0,18.38404445,184.979684,2233.567181
0,29,1,4.672610857,245.145743,1158.91369
0,83,0,6.796299371,124.97808,529.40733
10,23,1,12.97632235,187.484705,1956.7337
5,80,1,20.31163945,162.500692,2056.386979
0,20,0,6.998814446,182.467607,1067.373076
0,69,0,14.46288204,222.660939,1806.135733
1,32,0,11.13472066,182.467607,1397.701335
0,53,0,2.542296644,220.161527,808.4305471
2,25,0,17.22596021,169.937833,1886.531937
0,69,0,22.79214163,204.963371,2294.781131
3,71,0,3.823689744,204.963371,826.3438621
3,53,1,10.77094687,245.128318,2072.564168
2,56,0,13.08671185,172.473314,1436.793746
0,42,0,14.76468813,172.456745,1963.332683
3,33,0,9.473091121,194.976769,1324.164906
1,47,0,5.197446331,137.439154,704.9375603
1,48,0,6.577552683,192.470522,888.6517305
0,63,0,3.174571918,159.951231,377.0810282
1,40,0,17.88002366,112.455141,1606.489936
0,67,1,13.12190056,174.961766,1431.409396
0,56,1,23.34617699,162.452604,2253.85247
6,24,0,6.311709178,137.483594,1353.29384
2,79,0,12.58298231,275.133571,1701.457566
3,61,0,7.120096363,127.442069,1290.737183
0,38,0,9.344886869,210.138,1403.270091
4,28,0,22.37815032,147.456419,2603.903672
3,44,0,4.799514433,242.657291,1256.287854
1,65,0,10.04672315,114.983787,980.9935923
3,35,0,8.156552837,187.656013,1347.869205
2,31,0,7.992791229,149.991327,1127.267848
2,34,0,7.231032028,124.960655,1269.836202
2,68,0,4.627672042,220.161527,1038.745378
0,62,0,10.05306287,172.48852,1531.155367
0,52,1,4.171044392,120.004928,991.2441024
5,32,0,4.568682641,220.161527,1244.296865
0,47,0,6.085030507,139.965008,1162.332926
8,66,0,2.730250735,159.951231,577.1157824
1,70,0,8.574901206,184.949594,1442.974877
3,41,0,9.743201772,252.637807,1577.208717
2,59,0,9.482919033,112.455141,886.9398744
1,46,0,8.447988841,179.979358,1065.06443
3,70,0,6.365998533,202.443347,951.886985
1,89,0,7.251397592,197.472533,1404.435534
4,75,1,14.64011644,255.155493,1925.911722
0,26,0,11.71637124,174.976769,1805.011298
4,25,0,4.13273503,169.992756,700.7343179
1,84,0,2.887429547,192.440432,513.237305
3,69,0,3.303030246,182.460772,717.3876564
3,31,0,5.15825129,139.965008,1313.492851
10,76,0,3.237560234,137.461553,819.4195269
8,75,0,2.733109234,217.472533,882.1160656
1,74,0,3.180102025,210.138,724.7803356
1,49,0,15.85983755,104.964303,1829.270014
1,47,0,11.73724209,262.610632,1668.199119
4,20,1,7.006240694,152.488401,1124.353152
2,26,1,5.562130367,174.974431,1316.239744
2,72,0,14.53027663,220.118516,1637.201426
1,41,1,5.905906389,162.452604,951.8524406
3,26,1,3.260462654,184.961033,1248.097652
4,55,1,18.91276578,217.483972,2220.255405
1,46,0,14.25617986,220.118516,1669.202417
0,87,0,7.983887266,187.642236,990.0555076
1,39,1,5.969967132,174.961766,967.9819136
0,81,0,19.95277818,252.637807,2190.259876
0,83,1,14.85781115,130.024412,1445.752781
0,50,1,2.600063739,162.482694,528.6553088
3,87,0,11.92299244,182.467607,1296.481055
3,76,0,5.972864167,139.934918,1195.393037
6,25,0,10.87555535,200.165175,1700.121992
3,34,1,16.00330155,202.682861,2120.673828
1,46,0,12.63074989,159.951231,1238.421347
1,73,0,8.4944392,149.948316,847.110799
8,57,1,8.044444101,149.959755,1112.937102
3,58,0,12.07358377,137.469817,1623.045026
4,70,0,10.21634248,187.656013,1479.730181
0,53,1,15.50354683,164.985293,2144.735024
0,31,0,13.88004531,159.965008,1522.289512
0,38,1,19.48900163,172.462354,1974.780054
0,26,0,10.01771765,204.949594,1261.177198
2,44,0,7.34059599,147.473844,939.7181324
3,66,0,12.64742067,162.471255,1357.062854
1,58,1,8.850426839,119.95684,1456.887443
6,51,0,3.701557118,207.609354,937.5863866
4,34,0,2.976033785,194.999168,830.1193011
0,87,1,5.522376826,174.975543,737.8564608
1,67,0,15.64596698,240.114868,1781.854862
4,59,0,23.00764441,240.114868,2464.577489
7,23,0,17.24924155,139.983006,2392.203409
0,42,0,13.01107597,240.114868,1664.19271
1,24,1,5.104082209,209.993134,1433.616898
2,81,0,3.521499924,147.456419,823.4933243
8,78,1,8.08137067,107.495766,1468.357421
1,51,1,1.875430489,152.502178,590.7765801
1,70,0,5.587484456,79.978861,418.6206885
0,87,1,7.007695148,142.482694,1181.991846
0,46,0,1.408375942,117.439154,733.4036934
8,56,0,11.64983735,220.132293,1719.173387
4,44,1,2.964559883,152.455519,1205.956363
0,33,1,10.25635754,174.961766,1261.032763
0,19,0,3.892407013,202.443347,741.7766988
1,31,1,3.226996711,210.12704,932.6084359
1,34,1,15.87685513,139.979239,1708.614019
4,43,0,5.874064017,139.965008,1363.58603
1,82,0,3.756359276,137.439154,472.1057019
6,36,0,2.905283283,102.474625,558.2340556
1,48,0,1.474810061,252.637807,815.194738
0,52,0,18.56165869,194.999168,2007.303617
1,35,0,12.39088509,242.610632,2088.48083
3,83,0,14.17192333,127.458638,1430.761492
0,20,1,3.86023041,129.976324,822.3008694
0,25,0,17.72593456,240.114868,2059.200998
0,88,1,3.043063167,174.975543,617.542543
1,54,0,5.827112819,169.944668,758.4775985
1,46,1,4.648958177,162.511928,894.6733856
2,75,1,11.96274778,119.95684,1639.898269
5,66,0,4.525864256,137.439154,710.7541633
0,51,1,8.038308899,207.46728,1092.226042
3,81,1,1.416592892,149.974105,757.0097075
0,75,1,19.83504645,225.178625,2301.850721
3,54,0,15.85002222,232.637807,2401.406545
2,73,0,15.94935291,117.472036,1535.788894
0,53,0,11.94550648,137.469817,1536.589816
8,33,0,16.03360405,220.132293,2153.778421
5,41,0,21.29342532,124.960655,2409.195918
1,59,1,4.95598008,199.990219,1342.862457
3,23,0,2.73951266,159.947583,1046.054674
1,32,1,4.973046104,245.145743,1204.479468
3,51,1,10.28430068,255.155493,1616.908193
1,46,0,2.581692044,134.950905,345.0099528
3,37,0,6.945736396,159.947583,1427.088655
0,53,1,9.999416271,139.987503,1452.334634
1,62,0,6.035737465,179.947583,795.4957358
1,57,0,9.004964377,127.473844,1333.894229
2,80,0,5.071456681,232.637807,1402.20491
1,43,1,12.02106494,195.006206,1447.196935
1,35,0,5.049303717,267.642733,1662.510936
1,63,1,18.17247008,149.959755,1707.641161
1,63,0,15.31997698,220.114868,2181.752793
1,27,0,16.0708543,157.483594,1575.683555
4,19,0,7.873371451,127.474951,1029.489242
1,40,0,23.62866494,139.981577,2370.184448
0,42,0,25.8634566,255.133571,3309.919373
0,40,0,9.405224809,194.966286,1623.273925
0,72,0,12.84490034,179.965581,1146.199921
3,61,0,16.59325254,174.976769,2229.268031
0,71,0,20.35456039,187.609354,2512.36494
4,68,0,12.00925702,169.937833,1297.388488
1,88,1,2.861423443,115.002061,283.39178
1,64,1,14.20349453,152.462354,1947.7853
1,63,0,4.98152586,207.609354,849.1972541
0,53,0,23.12150846,147.503078,2131.359827
0,41,0,6.307178205,200.118516,1464.035068
2,63,1,12.73622643,137.497825,1381.538548
4,56,0,12.00466914,134.980139,1248.626874
2,27,0,2.243757398,147.442069,558.3751762
2,47,1,1.583394702,197.494455,676.2178659
4,42,1,14.23487852,162.529926,1641.938696
0,72,0,15.28108311,210.151777,1811.964373
3,58,0,4.135827839,159.965581,1066.632555
0,33,1,9.740709475,190.173699,1514.131966
6,87,1,1.213704886,202.649979,1189.549671
0,34,0,11.86252419,134.950905,1114.020282
7,76,1,2.416685985,142.500692,1078.291303
3,38,0,6.73327535,114.997564,854.2977548
0,47,0,6.549035393,232.62403,1489.077486
7,84,0,10.57197066,242.628057,1649.312808
4,19,0,3.379756569,202.443347,905.1959227
0,87,0,8.959047529,124.993537,684.6318529
3,75,0,10.23679934,174.976769,1662.533055
0,37,1,14.96503088,225.145743,2436.57146
1,52,0,23.79323993,275.133571,2677.74041
0,24,0,11.45675389,287.642733,1779.309609
4,83,1,11.04076215,177.65076,1494.716409
3,19,0,7.425503428,220.114868,1740.72604
1,78,1,2.411712843,197.516854,704.7552669
4,61,1,2.009542213,194.974431,558.4710883
0,38,0,9.068119482,175.133074,1282.279049
0,79,1,1.926789854,147.478341,287.8189836
0,49,0,11.77389421,134.980139,1129.529441
0,41,0,2.585228303,157.483594,394.0148722
0,75,1,9.517703088,255.141716,1302.230824
1,60,0,9.532523799,137.439154,970.4682919
1,70,1,23.103996,235.159141,2522.88913
0,23,0,5.104873611,147.460067,682.9871863
2,84,0,6.877942744,232.637807,1537.109931
1,63,0,21.17839683,137.439154,1961.923965
2,88,0,1.586331702,129.948316,676.1747964
0,44,1,3.778174405,242.632554,929.2607767
1,49,0,11.58276897,187.609354,1849.484087
8,32,1,11.62258922,232.652038,1998.680227
1,69,0,20.78013031,159.980465,1898.877878
2,60,0,3.940297464,159.947583,992.3501481
0,57,0,11.38099891,137.487242,994.6354785
8,62,1,1.473304337,245.131966,954.0290712
0,26,0,12.75609778,117.439154,1775.838153
0,85,1,6.253919786,209.993134,1297.050577
2,82,1,18.9537053,169.974105,1746.405243
2,40,1,9.640061615,197.470195,1698.465833
0,50,0,5.201330266,137.516476,665.4740915
1,71,0,12.42120946,207.475448,1886.153328
2,48,1,8.134438503,160.00128,958.6989908
0,24,1,14.86764776,147.478341,1446.203986
3,79,0,5.548652108,127.488728,774.6125757
4,82,0,18.35541838,139.981577,1939.811149
2,68,0,7.62779591,220.132293,1165.564309
5,77,0,4.439685675,214.952509,750.8768234
1,19,0,11.16903388,139.99789,1292.3206
1,80,1,14.14101821,270.160419,2335.130986
4,31,0,3.212400569,202.443347,769.8534863
2,62,0,16.84928353,172.47417,1729.837284
4,80,0,3.834727471,137.468388,649.3891796
1,36,0,6.198230305,104.962874,823.0046464
0,72,0,4.216732972,174.969934,1107.882056
0,50,0,4.355064781,139.99789,683.8622599
3,31,1,4.030250374,144.988941,1301.49424
0,22,0,9.915959247,114.997564,1079.012505
0,50,1,9.821728297,172.484753,1283.463995
0,28,0,9.183905417,124.97808,987.653655
0,63,1,8.892893007,174.991856,1088.263081
1,73,0,7.661226872,92.488023,583.0259559
3,72,0,12.4767812,139.965008,1778.733282
7,23,0,2.462148717,192.470522,900.4043765
1,49,0,14.09942339,220.118516,1693.576099
1,82,1,7.272649386,232.622804,1143.826239
1,72,1,3.999030359,210.156274,886.340074
1,45,1,3.115945151,114.972827,373.2772664
1,73,1,13.67931764,149.977753,1245.328696
1,78,1,14.6728104,184.985293,1564.936841
4,71,1,5.953547112,132.479779,1354.401018
4,67,1,11.74635394,190.12704,1971.429689
1,43,0,5.954024226,92.488023,623.7865683
5,27,0,22.8577804,220.114868,3040.553763
2,39,1,1.407866545,107.495766,864.7036995
0,52,0,21.08265979,169.967067,2042.113893
9,19,1,11.10356439,222.679213,1973.661316
0,48,0,9.734064703,200.132293,1755.645123
0,22,0,12.21754865,262.610632,1758.735654
1,69,1,2.423722078,152.495236,557.0118807
1,31,1,13.66061487,202.636202,2205.334092
9,79,1,8.701581043,127.478341,1451.201108
0,65,0,4.844060027,159.983006,609.0598401
4,49,0,6.485034974,124.960655,1221.100604
6,69,0,1.14113241,252.62403,745.0493094
3,74,0,7.69213424,104.97808,1220.452161
3,27,1,13.73012915,204.961033,1771.472597
4,79,1,5.690013293,245.145743,1201.484293
1,41,1,6.68894661,95.019486,764.3017535
0,51,0,9.475983046,169.937833,1022.415622
0,57,0,4.893221514,207.475448,1284.442486
1,66,0,2.656915117,114.983787,289.9240291
4,85,0,8.381515693,232.637807,1718.600163
9,54,1,14.53315436,225.131966,2494.633068
8,79,0,13.62832619,212.641455,2270.749222
3,56,1,1.281566108,152.495236,567.6177123
1,80,0,3.365552603,134.950905,380.0501404
0,37,0,5.397827503,200.132293,1436.408211
7,24,1,9.001231999,197.470195,1852.503069
3,48,0,10.9750814,192.456745,1312.008382
0,68,0,7.825845378,162.471255,863.0820861
3,74,0,14.12966281,222.660939,1854.793303
1,37,0,14.66914461,114.950905,1778.431765
0,54,0,5.388165017,182.446995,764.2419259
1,84,1,2.810825808,95.005709,307.018806
10,68,0,2.485229169,172.456745,1179.782483
10,39,1,2.051069457,177.65076,1040.034575
4,85,0,6.10108047,207.638588,1080.159892
1,86,0,4.950398978,220.118516,775.5613336
1,70,0,10.16660427,137.468388,1061.587971
1,33,0,12.29558653,159.965008,1334.403775
1,58,1,24.8868126,182.465269,2346.143947
2,58,1,9.660361769,129.977753,1491.768656
4,42,0,7.663625954,112.484375,927.1279646
2,89,0,5.25445262,127.488728,686.9354616
2,63,0,13.59137366,162.471255,1460.513443
0,18,1,12.3492819,154.961766,1942.250203
4,82,0,18.37317391,194.976769,1923.549943
8,61,0,8.498042024,192.48852,1239.802036
7,36,1,22.33583015,162.452604,2499.186161
1,87,1,1.541545443,107.48056,302.3848209
0,48,1,12.78453216,142.482694,1865.48625
8,56,1,2.527681829,165.018175,908.7910203
0,57,0,7.065506244,125.007314,790.9469893
3,89,1,4.258552081,139.987503,956.2636975
6,30,0,4.801969514,112.455141,639.3261343
4,54,1,5.204853319,212.622804,1572.045646
5,55,0,32.0730133,182.460772,3099.922244
1,46,0,11.16847385,159.947583,1599.727567
0,18,1,16.8000196,245.145743,2188.672399
0,58,1,17.6210362,149.977753,1586.699491
1,60,0,17.18829795,184.967019,1828.279015
2,62,0,17.52138221,92.455141,1866.966586
4,30,0,10.4103675,149.944668,1718.555203
4,75,0,3.310281145,167.456419,556.2193844
7,23,1,2.993625911,197.516854,1035.183038
1,84,1,16.26037537,152.488401,1580.43019
3,61,1,3.045064701,162.482694,703.6927423
0,75,0,15.35762157,262.610632,1842.258692
3,72,1,5.940902789,190.173699,1167.271182
0,66,1,5.988505209,187.513939,1007.289786
2,81,0,7.138784756,212.641455,1500.69101
4,34,0,8.951793883,104.964303,1404.773397
1,82,0,4.221959275,232.637807,1342.310858
1,73,1,9.797427154,142.499263,1250.94478
0,28,1,10.90397471,277.63748,1710.958869
1,48,0,1.665591776,112.455141,169.3992798
2,53,0,8.611218573,220.118516,1261.554565
4,52,0,1.28507969,139.951231,794.9581116
3,20,1,1.379696124,184.978458,713.364269
0,19,0,3.084376591,210.138,952.5914921
0,70,1,2.43754565,142.468917,778.6094503
4,48,1,3.288124191,160.00128,627.0001275
2,28,1,32.30772134,127.481989,2938.319116
2,52,1,13.46565415,162.452604,1566.001524
1,77,0,19.244458,172.457857,1889.642423
3,71,1,8.69085131,255.155493,1420.771651
4,22,0,3.778575882,184.979684,1254.725693
1,88,1,10.27819073,175.006206,1570.345219
0,25,0,4.156887945,112.455141,500.4406927
2,21,1,11.32083915,194.958118,1563.848623
1,39,0,5.254442453,172.44408,787.0962355
1,29,0,5.2551003,200.165175,1119.610001
1,22,0,6.417132666,127.460067,1155.782468
10,44,1,18.61278731,147.478341,1995.346628
4,74,1,4.924623699,207.49737,922.1362066
2,84,0,6.325942162,169.937833,717.6823944
1,65,0,17.22220989,152.457857,2223.835601
2,29,0,3.238699239,162.460772,1143.685617
2,51,0,6.437878909,200.132293,1537.296207
0,40,0,15.22323989,182.460772,1614.544362
2,49,0,7.484425045,124.97808,758.8338668
7,61,0,7.218752772,230.105118,1317.766231
3,61,0,11.69875604,147.473844,1189.578203
1,85,1,10.03363969,142.482694,1467.273158
8,25,1,18.46162568,152.479779,2192.693797
4,48,0,16.52138638,105.010962,1568.47416
4,86,0,13.83290937,114.965789,1376.095043
0,53,1,5.02568958,184.978458,811.5600648
2,88,0,2.644787483,134.950905,243.2617759
1,40,0,2.522962069,182.490006,676.6465414
1,23,0,3.508974199,192.470522,801.4709595
3,63,0,11.50651216,149.962093,1316.145864
2,28,1,10.96319721,95.019486,1270.217581
1,26,1,5.505247606,245.174977,1339.709597
2,22,0,14.16961729,169.944668,1624.799349
2,43,1,10.27782059,207.49737,1400.834009
6,70,1,3.364993591,245.145743,1149.108155
2,48,1,9.307770559,127.478341,1387.016004
1,29,0,1.171557288,182.467607,544.12326
4,61,0,7.262579715,267.642733,1803.917571
1,73,1,17.06899012,104.992311,1518.747945
2,27,1,10.8600084,164.978458,1932.20577
1,56,0,16.48065356,240.114868,1886.312286
6,19,0,10.85041661,124.960655,1738.71901
1,56,0,4.85576672,127.442069,1060.026737
2,83,0,1.715329149,169.992756,250.9270047
3,84,0,21.71097206,169.992756,1916.832871
0,62,0,3.470685398,179.979358,573.9920618
0,67,0,1.914386255,134.950905,272.9823095
1,21,0,9.16272705,192.440432,1233.975771
2,31,0,7.457173484,172.440432,1552.772876
2,25,1,4.991605214,212.669463,1259.735294
0,60,0,10.5903229,175.133074,1287.821218
6,84,0,14.68216127,159.965008,1516.667438
1,36,0,5.440398012,112.484375,589.9932647
0,87,0,11.92300936,179.965581,1021.482609
2,80,0,9.461939857,252.62403,1267.634616
0,34,1,13.90000955,95.005709,1266.503765
4,39,0,13.99579075,240.114868,1877.852717
8,42,0,13.44056701,105.010962,1541.134986
4,36,0,3.179043613,182.45383,744.2470872
0,18,0,14.58066686,149.944668,2023.519366
0,66,0,17.24908083,144.960655,1428.427469
3,20,0,2.760467902,187.609354,1283.253595
0,73,0,20.04140358,129.962093,2256.776479
0,83,1,8.001673351,129.976324,955.0876357
2,67,0,1.092219692,192.440432,499.7170655
2,62,0,14.68600159,172.44408,1562.32774
2,34,0,4.135515169,117.485813,776.4780765
2,28,0,9.086633107,159.965008,1118.646915
2,26,1,9.493585403,167.484705,1781.692875
2,82,0,5.372758028,129.962093,1086.92093
1,59,0,13.82188875,139.981577,1551.398147
6,46,0,2.598489694,124.97808,573.751474
1,44,0,12.9401487,255.137219,1794.116848
4,56,0,4.957713222,230.105118,1103.594576
10,32,0,28.79864005,182.460772,3143.245184
2,50,1,7.176411327,255.155493,1381.802291
7,53,0,5.709925704,172.457857,1091.10126
1,84,0,3.956375328,137.483594,891.9472856
5,33,0,1.033067819,167.456419,538.1168657
3,29,1,2.206152519,127.495766,497.9042695
7,87,0,3.820262172,287.642733,1115.476658
3,34,0,2.640977982,167.456419,522.7315686
3,34,1,5.622660986,164.988941,961.5888385
1,28,1,1.634394387,242.632554,883.9008134
2,68,1,2.012075635,130.006414,565.3167155
0,26,1,10.06913982,257.63748,2062.605873
0,61,1,6.935335786,129.977753,1197.080651
4,79,1,15.56741347,232.622804,1972.725118
1,49,0,12.75071284,182.467607,1427.321538
3,85,0,8.573785357,220.132293,1218.124487
0,25,0,13.86188691,252.637807,1874.789062
0,19,1,10.77929667,142.452604,1806.007164
0,28,1,16.88097916,94.972827,1939.600904
0,86,0,16.92163398,210.105118,2275.888923
0,54,0,11.91663193,92.455141,1372.385193
2,28,0,2.81822785,194.969934,785.6266383
2,25,1,5.100566529,129.977753,1226.343895
4,81,0,4.806882153,242.628057,1047.361909
2,89,1,5.658327457,197.48762,893.5446642
0,62,0,2.649525158,242.610632,1210.047397
1,31,0,18.76976086,139.934918,2329.912456
3,48,0,13.04542381,112.455141,1163.407505
1,22,0,1.534192133,182.490006,736.9303356
0,22,1,9.039309605,149.988989,1134.880009
2,20,1,10.15330548,107.495766,1561.294194
1,58,0,8.792119046,92.455141,1216.325478
0,81,1,1.542556879,225.145743,1192.502878
0,26,0,13.65776694,232.62403,2140.402985
0,89,0,5.165404738,207.638588,867.2394016
1,59,0,13.17859958,175.133074,1581.016214
0,75,0,1.557206083,242.628057,724.6774743
5,35,1,7.226076469,184.964681,1123.971139
1,28,0,20.91720893,182.443347,2633.809472
3,48,0,7.228526307,117.485813,967.7426094
1,29,0,20.43854626,139.99789,2101.344074
0,62,0,2.915827364,149.937833,862.3199149
1,43,0,9.709171662,157.469817,921.1401066
0,66,1,1.939549257,152.510442,752.1641496
3,56,0,1.502124145,139.99789,522.7806578
0,73,0,1.906368477,139.951231,736.161108
4,21,0,15.60605339,117.439154,2148.889242
1,48,0,2.084396413,235.137219,1304.999684
0,82,1,1.781895205,149.977753,292.4731737
0,22,0,2.050742411,149.991327,655.3814577
3,34,0,2.447649309,149.97755,660.0908173
2,56,0,10.81997919,172.456745,1655.780173
2,25,0,8.650238791,137.439154,1090.76661
0,44,1,8.878536605,197.494455,1136.118286
1,59,1,2.359067126,204.961033,673.2665835
0,63,1,6.811759674,162.482694,831.1303039
1,76,0,5.207179461,159.964152,729.541703
4,41,1,9.450195459,169.974105,1163.701618
4,25,1,10.6312597,129.959755,1720.167182
1,40,1,3.564836875,119.989722,626.5880936
0,77,0,1.815836226,179.947583,369.7619068
4,20,0,8.932053699,167.456419,1197.180331
0,53,0,7.349620762,240.114868,1164.240281
0,36,0,14.71424943,194.976769,1651.424177
0,86,0,7.073151031,245.146969,1489.301457
1,59,1,1.597765127,139.987503,775.0343206
3,26,1,8.054118994,197.483972,1808.311421
3,61,1,14.96135055,190.173699,1942.452213
3,27,1,22.76986341,197.470195,2847.700412
2,53,1,2.519975147,149.974105,908.4356314
1,32,0,5.915247686,204.979684,973.4512833
0,60,1,7.793733508,152.502178,1097.703155
3,25,1,20.44846104,225.131966,2936.746847
3,52,1,10.40161068,202.636202,1883.962411
10,32,0,11.40192641,127.460067,1808.501398
1,88,1,7.604093453,162.482694,844.8711719
0,59,0,12.85397739,104.962874,1215.114995
1,54,0,1.410971237,169.937833,382.5347203
3,83,0,8.874920206,159.934918,1043.790368
0,88,1,6.013261132,217.470195,851.1414085
1,68,0,9.306233406,245.146969,1762.075547
0,38,1,4.902104964,177.48762,1350.716866
3,23,1,1.894776657,162.465269,1052.042079
3,55,0,5.204111135,147.456419,1159.678094
1,43,0,1.375013189,134.950905,338.2592054
4,61,0,1.387575524,127.442069,851.811469
0,38,1,2.685677496,184.978458,669.0040793
4,28,0,5.511437756,137.468388,910.210446
0,84,0,16.58244758,182.443347,1981.954133
0,22,0,14.17620441,172.487091,1695.851887
1,34,1,10.81527088,162.500692,1305.953642
0,28,0,20.01892414,137.439154,1950.886897
6,83,0,6.956508263,220.114868,1631.872719
0,86,0,8.274610767,159.994242,954.6181316
3,79,0,6.786723844,159.964152,957.753476
1,56,0,3.605888824,275.133571,1057.571757
0,47,1,10.19243185,194.958118,1277.521575
1,84,0,3.998433243,124.97808,327.6622533
8,35,0,4.964368923,92.455141,1193.589255
4,26,1,5.884557067,229.993134,1252.155771
0,41,1,1.084656113,147.478341,261.1185652
2,50,0,7.21126107,179.947583,879.6579171
1,34,1,2.140387928,175.006206,1080.597617
1,22,0,7.931439645,204.963371,1262.007891
0,55,1,14.08939653,210.12704,1713.178075
6,80,0,9.232644617,184.967019,1264.760574
1,85,0,6.951491551,200.118516,1356.299478
0,58,0,3.137169138,114.965789,386.0863102
4,37,0,11.85998919,134.980139,1299.066214
3,71,0,3.113737885,92.488023,278.5411418
0,63,0,4.985175451,137.483594,1014.311651
0,47,0,11.41238102,137.483594,1511.115195
2,80,0,15.37990405,207.638588,1795.270512
3,26,1,3.775528995,114.972827,551.1855922
3,28,0,5.30268427,207.609354,1051.833922
4,38,0,2.843930975,134.950905,567.3663629
2,79,0,13.70230727,240.114868,1614.036609
2,48,1,4.768869377,149.959755,771.6292755
2,80,0,14.57312339,134.950905,1329.158978
4,66,0,17.28022598,204.963371,1929.06738
9,26,1,16.1217624,149.977753,1845.830672
1,56,0,2.437089876,139.934918,909.6827162
4,69,0,5.822867455,197.628838,1084.807286
0,73,1,16.18199957,152.479779,1602.254193
0,55,1,14.46037646,139.95684,1435.057667
2,32,1,1.504124801,229.993134,729.7054333
1,71,0,7.737353244,142.471255,1290.274294
