CaseOrder,children,age,online_security,monthly_charge,bandwidth_gb_year
7108,8,52,0,169.9447,5464.592624
8069,0,60,0,114.9509,4839.528738
7326,2,65,0,114.9509,5626.567359
8484,0,53,0,129.9621,3715.869075
8768,2,68,0,117.4392,6309.777908
6501,4,43,0,127.4586,5527.897933
8427,4,58,1,129.9926,4409.527019
7964,1,26,0,157.4836,5062.276295
602,1,56,0,139.934918,909.6827162
9250,4,68,0,222.6281,6605.855412
8920,3,30,0,137.4392,5748.685143
6815,5,30,0,147.4564,6072.987281
5412,1,40,0,204.9634,5563.392672
8748,2,36,0,184.9496,5533.878378
5523,3,81,0,117.4872,6071.058616
1045,5,78,0,182.460772,1674.078908
7335,2,23,0,104.9643,6325.692413
1558,1,19,1,162.482694,1359.631961
3740,1,36,0,207.6094,650.9200141
3523,0,42,0,112.4551,321.8958659
181,1,67,0,240.114868,1781.854862
2116,4,83,1,174.991,1231.728594
1700,8,76,1,127.495766,1630.020341
1380,4,64,0,169.944668,1507.046722
7230,1,44,1,174.9755,4952.728891
9144,3,19,0,152.4579,6309.663687
619,1,37,0,159.951231,477.2500925
3182,0,38,0,149.9707,1958.648355
9852,0,31,1,142.5007,5597.924969
1601,1,49,0,137.469817,1737.873621
5964,1,55,1,114.9728,5931.909999
1616,1,25,0,137.439154,952.3729916
5921,0,78,0,194.9663,5735.231545
9592,4,78,0,174.9699,4970.689824
3892,8,37,0,147.4738,1180.747336
2084,2,77,1,162.4827,531.0770713
4575,0,70,0,255.1198,3575.871459
5595,4,89,0,127.5067,5401.505392
5122,0,33,0,124.9781,5361.461661
4588,6,74,0,79.97886,436.2644992
4903,3,24,0,169.9447,1278.614923
8253,0,48,0,194.9525,4807.120751
5917,4,29,1,209.9931,4735.622867
5130,4,73,0,125.0073,5705.264431
8335,1,27,1,164.9715,6050.815837
1919,2,49,0,162.467607,2100.288363
8331,0,43,0,207.6386,5122.454947
5708,2,37,0,255.1372,5401.877883
5385,1,23,0,194.9699,5026.107394
6337,2,86,0,204.9496,5477.999845
2055,1,82,0,192.4404,500.6893216
7613,2,82,0,162.447,4835.577166
9210,0,52,1,162.4526,5612.009142
3964,2,25,1,164.9715,1593.482092
1127,1,23,0,167.456419,1142.427499
3429,0,27,1,207.4974,855.8268713
4602,2,48,0,129.9483,1340.469295
3722,4,78,0,194.9699,1003.915085
2390,1,28,0,172.4742,598.858359
1323,0,48,0,194.976769,592.8646912
1604,3,75,0,157.469817,306.0664281
7225,0,25,0,182.4762,4614.576112
7426,5,28,0,147.4601,5753.824737
4337,1,22,1,139.9875,2520.720283
5594,6,74,0,149.9378,6135.141648
4412,1,29,0,149.9928,1002.424825
5859,3,58,0,192.4885,5995.290634
9344,0,88,1,190.1737,6391.040605
3992,2,30,0,159.9794,901.9731056
6080,2,18,1,162.4526,5182.334759
1560,1,49,0,112.484375,859.8649518
4683,7,26,0,230.1344,1553.750811
7558,2,25,1,150.0208,5326.224652
3773,2,50,1,162.4653,1422.2449
8780,2,51,0,172.4567,5534.707356
3458,4,57,1,172.4624,1409.472824
8384,3,72,0,124.9607,5929.34648
1355,1,76,0,172.503404,742.7794122
46,2,44,1,245.174977,1710.689671
9873,1,60,0,175.1331,5321.961115
749,0,25,1,172.484753,866.8410599
7918,2,79,0,182.4538,5920.786804
4242,2,56,0,149.9621,760.1831445
5629,0,87,0,112.4844,4551.440341
4658,0,23,0,182.4608,998.0645117
4239,0,49,1,162.4653,1620.224811
3461,2,22,0,149.9845,1727.365848
7382,4,66,0,159.9476,6548.644506
5550,3,47,0,159.9642,4347.952465
7076,8,29,1,139.9875,5801.742401
5839,0,18,1,177.4876,5066.934116
8092,0,19,0,240.1149,5989.298293
5475,8,27,0,184.9634,6641.027483
3615,4,41,0,149.9447,988.3464184
7502,1,63,0,252.6378,5993.520721
7054,2,36,1,132.466,6621.09271
7368,0,53,0,159.9794,5468.390333
8020,0,48,1,172.4624,5172.422992
9639,2,60,0,267.6427,6752.652755
9056,2,77,0,179.9476,5972.406287
665,1,33,1,142.500692,1766.503802
2320,2,87,1,139.9792,767.624909
3543,0,78,0,127.4421,1563.141746
3678,3,44,0,169.9378,1767.444722
9600,10,30,0,129.9483,4968.246217
3092,0,44,0,162.4608,2233.112834
676,2,86,0,169.944668,1014.45747
8677,1,30,0,204.9634,4563.3631
4885,1,51,1,197.4876,1964.367635
8080,4,38,0,172.4567,6667.408481
1963,1,57,0,162.460772,1647.420385
1841,9,83,1,95.019486,878.7051436
7169,2,70,0,172.4885,5490.29487
9899,0,68,0,242.6281,5435.522187
3539,3,52,1,247.6647,2850.191042
8027,7,82,0,179.9476,4887.271461
4867,0,28,0,104.9629,453.3963183
4175,1,40,0,129.9621,949.9087685
8089,0,81,0,179.9794,4073.89846
4378,4,79,1,267.6647,1560.396967
6212,0,31,1,190.127,6246.190895
4767,1,23,0,220.1185,895.556806
412,1,88,1,175.006206,1570.345219
614,1,19,0,159.965008,587.538153
6127,0,64,0,139.9512,5176.004699
5211,0,61,0,232.6415,4421.565715
1431,1,86,1,270.160419,1998.877156
2426,2,61,1,237.6549,2353.047822
8842,0,28,0,112.4844,4938.967049
3834,2,23,1,257.6549,1469.056257
4719,2,34,0,182.4608,632.4760401
7186,1,79,0,139.9816,5897.501471
1418,1,59,1,127.481989,1997.134556
7200,0,24,0,255.1372,4844.338366
605,0,55,1,139.95684,1435.057667
1273,2,18,1,115.002061,1679.045392
3965,1,82,0,114.9658,1448.715638
6368,0,61,1,175.0062,5083.028968
8747,1,28,0,242.6435,5158.501952
248,2,63,1,137.497825,1381.538548
9227,1,75,1,167.4847,5736.40115
1983,0,82,0,179.947583,2234.450325
2836,4,65,0,124.9781,1185.107111
5376,7,63,0,137.4392,5964.347127
200,6,36,0,102.474625,558.2340556
486,3,29,1,127.495766,497.9042695
6084,3,69,1,142.5007,4121.283443
8957,1,67,0,220.1615,5558.549267
456,2,25,1,212.669463,1259.735294
9799,4,62,1,174.9755,5909.336061
8827,0,22,1,149.9598,5264.734623
6516,2,30,1,147.4783,5062.064883
1722,0,56,0,204.963371,616.51937
7051,2,18,0,194.9768,6145.669296
6383,0,60,1,222.65,4233.959568
8166,0,72,0,187.6094,6608.57453
5768,1,19,0,149.9621,5514.944335
5810,3,81,1,162.5299,6074.151439
4627,9,31,0,220.1149,2186.78593
863,4,51,0,169.992756,441.5863902
2095,8,70,1,152.4624,1572.631084
948,10,20,0,144.960655,641.845268
5642,3,56,0,147.4564,5653.372513
1445,4,46,1,127.511223,885.546457
1281,1,55,0,207.609354,2221.139588
3111,2,59,0,139.9512,877.5328489
8953,0,34,0,245.147,6646.927545
7610,3,40,0,149.9707,5919.39345
5136,0,42,0,252.6378,5940.543417
3017,3,70,0,210.1518,1277.067543
2303,0,67,0,202.4433,479.1497047
2005,5,49,1,242.6326,1410.771138
4581,1,31,0,149.9776,1248.354542
8705,3,42,1,245.1457,5980.394774
1006,1,79,1,139.95684,1298.399804
5139,1,29,1,245.1283,6199.767982
4318,0,83,0,147.4738,978.1726612
6559,0,67,1,132.4798,5163.021507
4388,0,21,1,207.4811,2422.231415
2133,1,64,0,220.1323,713.7053321
4266,1,83,0,159.9476,1704.12272
2058,4,44,1,107.4806,3022.776148
5387,4,26,0,182.4608,5441.933092
230,1,43,1,195.006206,1447.196935
2890,2,72,0,187.656,1750.253059
4473,2,88,0,184.967,1209.083545
6065,7,86,0,175.1331,4778.015995
7925,1,56,0,139.965,4663.083428
7650,4,51,0,159.9942,5246.927502
8382,8,67,1,140.0049,6024.530188
210,2,75,1,119.95684,1639.898269
2759,1,50,0,204.9797,895.0975786
8472,0,63,1,127.4783,4932.430411
2949,1,34,1,245.1457,1501.794265
7117,1,89,1,127.5112,3891.647782
6331,1,21,0,167.4564,5064.686588
1729,1,75,1,194.958118,2419.797484
4177,0,82,1,169.9741,877.6347728
338,6,69,0,252.62403,745.0493094
4985,3,71,1,127.4783,1424.784732
6879,2,43,1,290.1604,6600.127641
7249,7,20,0,139.9512,5304.643513
8453,1,61,0,117.4392,6205.418228
1227,4,47,0,184.949594,1468.00712
7609,1,82,1,129.9598,6235.95972
6828,0,84,0,144.9607,3842.137812
3541,1,71,0,194.9699,1125.724207
5869,7,74,0,152.4441,6093.493249
2112,3,44,0,172.4441,912.4311552
2692,0,66,1,257.6549,2074.948906
7154,4,44,0,92.45514,6175.153891
3708,4,42,0,242.6573,1819.192603
1018,6,65,0,117.485813,1223.869565
8512,0,76,0,124.9643,5774.340454
2808,2,37,0,149.9928,993.4525617
5016,0,56,0,127.4887,5477.047906
1929,1,77,0,147.503078,1824.510182
351,0,37,0,200.132293,1436.408211
5174,4,58,0,240.1149,5527.671776
4193,3,39,0,137.4836,1027.507457
1935,3,32,1,202.649979,2425.149963
6902,2,31,0,204.9634,4181.937026
4824,0,59,1,149.9778,471.7954635
565,1,43,0,134.950905,338.2592054
1583,8,32,0,162.45383,2025.927893
4695,5,77,0,124.9643,835.073392
2176,2,71,1,117.4835,2744.394944
7029,1,36,0,92.45514,4984.657525
4881,0,47,1,197.4702,1348.318284
2229,2,24,0,139.9816,1297.915797
1116,3,40,0,240.114868,2136.125116
3127,4,84,0,220.1185,893.3552968
3545,3,49,1,162.497,1782.253032
5049,3,80,0,172.5034,5671.821266
7477,1,86,0,134.9801,5725.974592
822,4,82,0,242.61428,2551.579661
6533,4,49,1,222.6326,6915.693645
2273,2,79,0,235.1372,1588.073926
5546,0,71,1,162.4653,4318.755591
82,0,31,0,169.992756,943.3391244
1324,0,42,0,112.455141,1055.617042
9406,2,58,0,137.4616,5245.350989
1615,2,38,1,184.978458,1265.78479
832,1,76,0,207.638588,635.4288732
3884,4,46,0,197.4725,1418.137965
8642,2,76,0,162.4713,4159.078651
4465,2,39,1,154.9919,1691.271964
5340,1,47,0,127.4738,3812.804172
8067,0,39,1,190.127,5934.168034
1650,8,82,0,220.114868,1540.140383
4066,0,73,1,242.6326,2280.034122
9666,1,26,0,204.9496,5550.413849
3039,1,36,0,222.6143,2304.085004
3321,0,48,1,120.0035,1606.304191
7144,4,38,1,190.1737,6619.007955
6890,0,72,0,159.9512,4581.577784
5093,3,85,0,230.1344,4966.563579
3721,1,49,1,232.652,1163.644754
2424,1,25,0,159.983,916.275075
750,0,88,0,169.937833,1960.019242
5272,3,25,1,152.4624,6443.376935
2374,4,89,0,172.4705,1531.239282
4694,0,41,1,94.97283,830.1003254
9880,3,64,0,127.4421,5551.218207
8371,0,78,0,220.1615,5943.037284
7320,1,89,0,220.1149,6321.808564
4369,3,81,0,194.9699,956.2196954
6786,0,25,0,222.6143,6580.30162
7402,1,33,1,215.1591,6329.040598
1140,0,82,0,242.610632,1267.731181
7632,2,37,0,169.9447,5723.066248
2232,1,19,0,242.6281,1946.937264
2165,2,33,1,210.127,1291.871722
5218,0,47,0,169.9378,6079.400361
9445,2,35,1,235.1591,3729.770527
9238,5,48,0,242.6143,6175.832114
4562,1,75,1,237.6549,2037.626802
1571,3,30,0,137.439154,996.4395858
173,0,38,1,172.462354,1974.780054
7164,4,81,0,262.6106,6150.804869
2088,3,63,1,152.5104,1583.398883
4668,8,47,0,179.9476,2038.787429
4566,3,71,1,257.6513,1801.105672
7090,1,79,0,194.9699,5852.331432
6570,0,73,0,114.9658,5632.15471
4784,6,70,0,204.9634,1185.478786
2685,1,35,0,127.4421,1108.726166
1833,1,34,0,192.456745,1398.114035
8547,1,77,1,117.4835,6100.344382
5066,8,72,0,159.9642,5556.247274
9131,1,67,0,172.4871,4091.156525
9356,2,78,0,159.9942,5452.509295
4413,0,29,1,94.97283,1618.779462
7208,1,67,0,179.9794,4282.995447
9891,1,31,0,149.9928,5626.984861
835,1,19,0,169.944668,958.0823564
6822,0,77,1,162.5119,5066.909377
3782,5,67,0,182.4608,867.400478
9013,0,60,1,154.9618,5452.591282
7500,9,65,1,212.6695,5645.101799
3425,4,30,0,204.9797,1275.449066
66,2,63,0,184.963371,1570.641337
2964,6,62,0,149.9776,901.932094
5670,3,19,0,159.9476,4652.920592
8963,4,89,1,257.6841,5599.136827
355,3,74,0,222.660939,1854.793303
8172,5,86,0,152.4441,4123.921101
4031,0,40,0,169.9378,373.4091813
8535,3,52,0,179.9476,5820.087969
3652,7,43,1,147.4783,1031.328337
6740,4,64,0,112.4551,4886.743042
3298,4,50,0,92.45514,785.2993593
4128,0,64,0,172.4567,946.9600501
8044,0,20,1,119.9897,5871.273948
4768,7,68,0,252.6378,977.9075314
473,2,34,0,117.485813,776.4780765
3762,1,72,0,182.4676,1403.146012
8618,1,21,0,207.4754,5648.31533
3567,3,24,0,192.4885,2063.282237
2761,6,48,0,157.4698,1221.300132
869,1,63,0,127.458638,1040.933456
9383,0,33,0,114.9509,5869.378889
8689,3,79,0,194.9699,5766.226735
4053,1,79,0,275.1336,1744.354966
6131,1,47,0,184.9797,5901.89928
3245,3,29,0,137.4616,1037.253154
4843,7,49,0,212.6415,1569.607544
9331,10,18,0,240.1149,5394.514435
5641,2,61,0,184.9797,6518.166442
5781,0,63,0,114.9658,4920.518248
8541,2,54,0,172.4567,6376.192688
1076,5,80,0,242.628057,951.2972085
2958,0,23,0,124.9781,888.4950848
6753,0,46,1,184.9853,5061.170302
8658,0,86,1,177.4876,6678.820787
7273,0,30,1,129.9926,5926.760477
4760,0,37,0,207.6094,804.7021179
4863,2,63,0,104.9781,1231.447125
7026,0,50,1,144.9889,6528.343934
7648,7,72,0,157.4836,3716.351124
7162,0,82,1,169.9741,3542.766428
74,3,35,0,255.137219,1577.915603
4902,0,75,1,232.6228,808.114485
4376,2,34,0,200.1323,1892.444874
6699,6,85,0,220.1149,6395.153415
9806,0,45,0,207.6094,5773.173421
1102,7,72,1,142.500692,1571.814704
9538,3,87,0,117.4872,5375.881358
7656,4,56,0,255.1198,5925.343914
5236,5,37,1,114.9728,6210.519966
5166,0,88,0,172.4441,5997.071735
119,3,61,0,127.442069,1290.737183
2023,0,31,0,162.4608,1411.701061
9886,1,52,0,252.6378,5857.728582
2639,0,88,1,184.9647,428.5644943
2035,7,18,0,149.9378,1669.828557
2565,1,79,1,245.1283,1501.093332
8666,0,87,0,157.4836,4491.178233
3544,1,85,0,220.1323,1525.934554
1220,3,49,1,139.987503,2649.830017
9715,6,29,1,277.6513,6126.605256
6712,2,52,1,132.5127,5208.893265
2904,4,65,1,219.9902,1254.859385
3027,4,82,0,200.1323,2733.904187
2511,1,43,0,147.4601,834.8359967
4202,8,20,1,164.9785,1895.230077
3208,1,77,1,162.497,1307.120014
4490,0,74,1,270.1604,1341.275592
2756,0,37,0,149.9447,1425.150573
8890,1,55,0,112.4551,3840.965627
178,6,51,0,207.609354,937.5863866
1644,3,73,1,215.159141,2056.185889
9293,0,51,1,174.991,6192.63762
3519,1,63,0,152.4579,1456.082414
1375,4,60,0,242.657291,2730.054658
1721,3,47,0,182.460772,1103.011016
3996,5,35,0,79.97886,1683.407282
3689,2,72,1,172.4624,993.0023112
2265,4,63,0,127.475,626.8266819
88,0,66,0,207.638588,777.3060718
2849,3,84,1,164.9889,1064.595704
8688,4,44,0,139.9678,4553.52168
404,0,19,0,210.138,952.5914921
9901,1,56,1,132.4798,4992.984164
4078,0,27,1,217.484,756.1541962
6836,0,64,0,182.4608,5691.001621
6538,0,72,0,192.4404,4192.87684
2457,3,79,0,129.9483,712.4768186
2752,4,18,0,169.9447,1169.714886
2215,7,60,0,92.45514,1106.403216
1028,1,36,0,182.446995,682.9095847
9704,0,85,0,169.9928,5691.599692
1422,1,22,0,217.472533,839.4587853
2437,3,54,0,182.4538,552.2795704
4278,0,26,0,212.6415,1330.057877
9610,3,78,0,187.656,5020.535562
1279,0,87,1,215.159141,1774.760154
6221,0,77,1,222.6362,4964.396722
4908,1,46,1,164.9853,2563.027756
5065,5,41,0,159.965,6095.07687
1979,1,49,1,129.977753,2010.958936
1062,2,74,0,242.61428,913.521381
5015,3,46,1,152.4555,6715.662535
4536,4,39,0,172.4871,2082.760575
6994,0,35,1,137.4686,5896.604353
9254,6,21,0,172.4705,6484.077095
1503,1,31,1,245.131966,1726.803854
8569,1,84,0,212.6415,4458.846728
9315,5,30,0,147.4421,5305.771174
8837,0,29,0,129.9483,5537.702266
8921,1,20,1,255.1417,6523.645236
4919,1,55,0,157.4836,1081.276543
679,1,19,0,134.980139,949.785575
5077,0,24,1,139.9568,4969.32191
8065,0,26,0,197.6288,4017.55183
7569,7,46,0,124.9643,4550.793265
103,0,53,0,220.161527,808.4305471
958,0,52,0,220.132293,1943.761302
8557,2,19,0,169.9378,5964.070556
3786,6,75,1,257.6549,906.3706236
9631,0,79,0,124.9643,5231.543507
7174,3,30,1,114.9728,5396.112945
4044,0,41,1,137.4978,1502.957327
2649,3,45,0,182.4676,793.8062657
6001,0,68,1,162.4827,3869.872224
7928,0,30,0,159.9794,6286.517671
2827,0,64,1,152.466,1167.924948
4095,7,29,0,112.4551,849.8471125
7775,9,43,0,159.9794,5658.119795
9259,0,81,0,214.9525,5514.722604
8114,0,64,0,124.9643,4882.901543
4773,1,31,1,150.0208,1099.874685
1948,0,42,0,127.473844,2467.669888
6110,3,68,0,152.4441,6030.712542
2300,2,83,0,92.5018,641.192229
7845,0,31,0,172.4885,4950.103922
4383,1,31,0,157.4836,1747.20978
5426,0,81,1,152.5104,5913.125552
6772,1,75,0,192.4705,5571.868167
8579,1,33,1,137.4978,5880.876863
4292,2,35,0,200.1185,1569.491526
529,0,82,1,149.977753,292.4731737
1234,0,34,0,149.962093,954.1807838
780,1,76,1,194.974431,982.2094626
5860,0,30,0,172.4441,4317.862166
3060,2,42,1,245.1283,1818.572601
8588,0,77,0,207.6094,6230.543177
1861,4,23,0,137.469817,922.4502594
8439,5,32,1,190.1737,4390.887942
7404,3,67,0,172.4579,5084.877488
4640,1,49,1,194.9581,773.5217752
4251,4,25,0,179.9656,787.75587
1993,1,27,0,182.467607,2230.633867
7380,3,64,0,230.1344,4912.438643
7306,3,88,0,92.45514,5118.485777
5304,3,31,0,194.9699,6270.108334
8193,1,55,1,164.9715,6457.28774
7448,4,71,1,94.97283,5624.996529
2472,4,43,0,139.9512,1627.959422
7198,5,36,0,214.9663,4520.939364
5313,1,66,0,142.4713,5031.059535
9036,2,88,0,184.9963,5831.190256
1397,4,52,0,114.965789,1737.043258
4003,5,46,1,147.4783,1326.326983
5372,0,70,1,152.466,4184.902878
3236,1,40,0,220.1615,1012.974384
1043,0,57,0,127.458638,1503.123653
3299,4,63,1,245.175,1076.444999
7257,3,68,1,139.9568,5587.309027
258,7,76,1,142.500692,1078.291303
7287,2,86,0,192.4705,4042.881848
8617,3,82,0,102.4746,5720.467652
7817,4,42,0,134.9801,4387.374407
5844,0,88,0,124.9781,4723.54426
2090,0,39,0,147.4564,1085.979242
7703,2,52,0,169.9928,5210.641825
504,4,81,0,242.628057,1047.361909
5266,0,68,0,159.965,5934.247818
8815,1,29,1,222.65,4666.085107
1346,8,72,1,140.004928,682.4871065
8456,8,33,0,255.1665,6579.180799
5047,3,19,1,267.6647,5502.195694
2249,2,57,1,190.127,1236.080387
4982,1,57,1,95.00571,888.9198648
373,7,36,1,162.452604,2499.186161
8455,1,23,1,217.484,5487.953653
3371,2,67,0,104.9643,1161.650257
2007,4,19,0,275.1336,1418.914101
3657,0,36,1,140.0049,874.8586177
8328,1,73,0,204.9634,5042.032681
7522,0,57,1,164.9785,6548.096564
4002,0,25,1,200.1465,1280.711037
6073,0,75,0,232.6378,6377.789045
8737,0,72,0,230.1051,6028.793302
998,4,81,1,152.509013,1280.37995
8180,0,84,0,172.4705,5981.217808
3291,0,71,0,242.6281,1071.774579
1177,0,38,0,124.97808,639.5093519
552,0,60,1,152.502178,1097.703155
745,2,70,1,162.482694,1386.813604
7224,1,43,1,127.4958,5486.549081
4555,3,67,0,117.472,545.3992275
2860,1,34,0,204.9797,752.2906635
8821,2,49,0,242.6281,5841.624759
3460,0,42,1,207.4974,1051.673689
2725,5,37,1,245.1612,1042.042108
6848,2,58,1,139.9568,5675.878459
7616,0,65,1,152.4798,5025.121526
7548,1,51,1,194.9882,4999.200658
9175,1,80,1,164.9647,5895.135365
6394,0,30,0,112.4551,5345.265159
5359,7,58,1,152.4624,5990.538991
9489,2,70,1,212.6557,5445.472792
2969,0,74,1,152.5104,924.895642
694,4,78,1,154.961766,1831.930109
2534,2,53,0,79.97886,804.9040342
6400,4,65,0,125.0073,4442.819177
983,10,82,1,149.99153,600.0687482
5365,7,68,1,217.484,6292.807402
80,0,20,1,127.495766,1129.549713
4054,1,71,1,172.4555,1076.282569
6259,6,38,0,104.9643,6158.129487
9577,1,64,1,149.9778,5275.613898
9026,3,64,0,232.6415,6404.998855
3108,2,31,0,149.9378,1403.833391
3602,2,85,0,172.4567,1283.018595
6074,2,68,1,225.132,4444.680517
8127,2,41,0,187.6422,5596.424346
2143,6,54,0,104.9629,694.3512691
6311,7,33,1,204.961,5901.372906
2269,3,22,1,245.1283,2674.664142
446,2,27,1,164.978458,1932.20577
4884,0,49,0,182.447,619.2614035
4467,7,54,0,214.9525,1338.619611
9027,0,70,1,202.65,5881.867947
6633,3,21,0,149.9913,5091.409521
3317,0,66,0,255.1372,1012.460755
1702,3,42,1,194.974431,897.6280912
2527,0,74,0,252.624,662.5967184
69,0,48,1,152.462354,1808.730555
1169,3,66,1,162.452604,950.1312316
49,1,86,0,104.962874,740.010722
1054,0,22,0,267.642733,1743.932853
4030,4,62,0,139.9349,962.2206823
881,1,87,0,129.948316,1041.301237
